QID,Presentation,Diversity
01,TV,3.76248857364477
01,S,3.4415006727510975
02,TV,3.481136061043902
02,S,3.7274101673393862
03,TV,4.031974648295472
03,S,3.9546205239501804
04,TV,3.5157068807872145
04,S,3.9257031306448775
05,TV,4.013688322930431
05,S,3.825331512178963
06,TV,3.7220291289837557
06,S,3.529919004450064
07,TV,3.24620508147799
07,S,3.269053458745536
08,TV,3.186640474546178
08,S,2.896415088667017
09,TV,3.1400175121177254
09,S,3.764170876729199
10,TV,3.990267303014987
10,S,3.615703845429466
11,TV,3.6252319556553694
11,S,3.0525150973303816
12,TV,3.68623118609611
12,S,3.3382133358948938
13,TV,3.8700147716634667
13,S,3.601406345114633
14,TV,3.130021061201049
14,S,2.7937096024913695
15,TV,3.6999471730609916
15,S,3.22635304290299
16,TV,3.0462819197680613
16,S,2.9530198307196924
17,TV,3.3794892016174054
17,S,3.320522165234533
18,TV,3.8691345110071387
18,S,4.096592559180232
19,TV,3.6033844471454026
19,S,3.575655023570419
20,TV,3.469881244500969
20,S,3.1688516862326117
21,TV,3.9135725597906688
21,S,3.715540022049655
22,TV,4.231605126722911
22,S,4.460327504278365
23,TV,4.083950391383627
23,S,4.020044643290161
24,TV,4.009013637018944
24,S,3.5056901760103605
25,TV,2.987163937947951
25,S,2.8306019823660598
26,TV,4.245803905034978
26,S,3.825217933331224
27,TV,3.8783562030434036
27,S,3.4492260530885948
28,TV,3.9356610924641577
28,S,3.611762461722505
29,TV,3.8202590160255507
29,S,3.368096247339768
30,TV,3.6290575384583046
30,S,3.5630705469101676
31,TV,3.277118338692556
31,S,3.955310652591746
32,TV,3.678782135154181
32,S,3.2818177192111033
33,TV,4.2586629563203555
33,S,4.1104196726316875
34,TV,3.1238120029961722
34,S,2.732600101362458
35,TV,3.76902734562514
35,S,3.750090047514481
36,TV,2.6835143078602224
36,S,2.458026423312275
37,TV,4.068811137932629
37,S,3.5971786506112866
38,TV,3.0576604067563333
38,S,3.6811599168535087
39,TV,4.001901362962365
39,S,3.7534731393165868
40,TV,3.349599173352495
40,S,4.067072890392953
41,TV,3.498902242861733
41,S,3.3728585407206055
42,TV,3.2004074907267963
42,S,3.111712600370882
43,TV,3.3076773352681736
43,S,2.9679172096340136
44,TV,3.526718145541242
44,S,3.737281764212858
45,TV,4.039202859202012
45,S,3.788550543233017
