"Sex","Age","P_ID","Questions","Value"
2,42,618221,"TV01","突きさす、鋭い"
2,38,854398,"TV01","きつい、厳しい"
1,44,596296,"TV01","怖い、危険、冷たい"
1,28,714743,"TV01","痛い、突き刺さる"
1,44,966384,"TV01","鋭い、痛い、危ない"
2,28,619505,"TV01","突き刺さる、傷つく"
1,44,926083,"TV01","嫌だ、切れる、鋭い"
1,25,643750,"TV01","鋭い、突き刺さる、痛い"
2,30,834992,"TV01","心苦しい、悲しい"
2,46,596744,"TV01","鋭い、痛い"
1,34,229654,"TV01","鋭い、やるせない"
1,43,687473,"TV01","危ない、硬い"
1,45,214246,"TV01","鋭い、冷たい、硬い"
1,50,974184,"TV01","厳しい、切る"
2,25,813515,"TV01","傷つく、悲しい"
1,40,268448,"TV01","いたい、短い"
1,41,619118,"TV01","鋭い、痛々しい"
2,53,379880,"TV01","突き刺す、怖い、辛い"
1,51,697066,"TV01","刺す、懐、"
2,43,695517,"TV01","小さい、大したこと無さそう、弱い"
1,36,450316,"TV01","危ない、鋭い、痛い"
2,47,842234,"TV01","意地悪だ、傷つける、嫌味だ"
1,57,992477,"TV01","鋭い、激しい"
1,43,864699,"TV01","危険な　鋭い　傷つく"
2,47,517718,"TV01","鋭利だ、痛烈だ"
2,39,453182,"TV01","切れる、鋭い"
2,38,737833,"TV01","ひねくれた、嫌味な"
2,49,650129,"TV01","刺さる、傷つく、痛い"
1,35,132018,"TV01","刺す、痛い、痛快だ"
1,30,372370,"TV01","鋭い、刺す、切る"
2,46,417966,"TV01","短い、小気味良い、鋭い"
1,39,541460,"TV01","傷つける、鋭い"
2,38,919589,"TV01","きつい、強烈"
1,63,783967,"TV01","危険な、危ない、傷つける"
2,29,372821,"TV01","鋭い、鬱陶しい、うるさい"
1,45,848301,"TV01","鋭い、痛い"
1,37,343791,"TV01","届かない、陰口、傷つける"
1,55,171098,"TV01","傷付く、刺さる"
1,34,615315,"TV01","鋭い、痛い"
1,30,211056,"TV01","鋭い、切る"
1,33,837258,"TV01","鋭い、短い、頼りない"
1,40,236761,"TV01","傷つく、恐ろしい"
1,32,479382,"TV01","かすり傷、気にしない"
1,31,177114,"TV01","痛い、恐い、切りつける"
2,35,487568,"TV01","鋭い、強い"
1,39,131627,"TV01","痛い、嫌だ"
2,30,214891,"TV01","きつい、鋭い"
2,42,938806,"TV01","鋭い、切れる"
1,51,459279,"TV01","鋭い、嫌われる、賢い"
2,42,618221,"TV02","丸い、輝く"
2,38,854398,"TV02","美しい、貴重だ、優しい"
1,44,596296,"TV02","大らかだ、寂しい、せつない"
1,28,714743,"TV02","反射する、光る"
1,44,966384,"TV02","オレンジ色だ、温かい、まぶしい"
2,28,619505,"TV02","赤い、綺麗だ"
1,44,926083,"TV02","綺麗、茶色い、悲しい"
1,25,643750,"TV02","丸い、儚い、赤い"
2,30,834992,"TV02","きれい、寂しい"
2,46,596744,"TV02","夕暮れ、暗くなる"
1,34,229654,"TV02","価値がある、綺麗な、美しい"
1,43,687473,"TV02","冷たい、硬い"
1,45,214246,"TV02","丸い、赤い、硬い"
1,50,974184,"TV02","消える、無くなる"
2,25,813515,"TV02","厚い、綺麗"
1,40,268448,"TV02","きれい、かわらない"
1,41,619118,"TV02","眩しい、赤茶色い"
2,53,379880,"TV02","美しい、儚い、輝く"
1,51,697066,"TV02","茜色,光り輝く、"
2,43,695517,"TV02","綺麗、尊い"
1,36,450316,"TV02","まるい、煌びやか、低い"
2,47,842234,"TV02","光っている、丸い、価値がある"
1,57,992477,"TV02","明るい、きれい"
1,43,864699,"TV02","淡く光る　永遠の　切なく光る"
2,47,517718,"TV02","輝く、染める"
2,39,453182,"TV02","明るい、光だ"
2,38,737833,"TV02","美しさ、綺麗さ"
2,49,650129,"TV02","赤茶色い、暗い、渋い"
1,35,132018,"TV02","きれい、輝いている"
1,30,372370,"TV02","輝く、丸い"
2,46,417966,"TV02","紅い、美しい、静かだ"
1,39,541460,"TV02","丸い、赤い"
2,38,919589,"TV02","丸い、赤みがかり"
1,63,783967,"TV02","赤い、輝く"
2,29,372821,"TV02","綺麗だ、高級だ"
1,45,848301,"TV02","黄金色の、丸い"
1,37,343791,"TV02","赤い、暮れなずむ"
1,55,171098,"TV02","黄色、光る"
1,34,615315,"TV02","美しい、赤い"
1,30,211056,"TV02","明るい、輝く"
1,33,837258,"TV02","お宝だ、赤い"
1,40,236761,"TV02","きれい、儚い"
1,32,479382,"TV02","美しい、見惚れる"
1,31,177114,"TV02","綺麗、広がる、高い"
2,35,487568,"TV02","きらめく、丸い"
1,39,131627,"TV02","きれい、滲んだ"
2,30,214891,"TV02","丸い、綺麗だ"
2,42,938806,"TV02","赤い、硬い"
1,51,459279,"TV02","赤い、丸い、輝く"
2,42,618221,"TV03","きつい、しんどい"
2,38,854398,"TV03","大変だ、辛い、しんどい"
1,44,596296,"TV03","難しい、ゆっくり、堅い"
1,28,714743,"TV03","学ぶ、経験する"
1,44,966384,"TV03","登る、一歩ずつ、高い"
2,28,619505,"TV03","地道だ、過酷だ"
1,44,926083,"TV03","熱心だ、立ちはだかる、難しい"
1,25,643750,"TV03","高い、険しい、果て無い"
2,30,834992,"TV03","ゆっくり、遅い"
2,46,596744,"TV03","努力、勉強"
1,34,229654,"TV03","面白い、チャレンジングな、新しい"
1,43,687473,"TV03","辛い、苦しい"
1,45,214246,"TV03","高い、遠い、苦しい"
1,50,974184,"TV03","遠い、高い"
2,25,813515,"TV03","難しい、苦労"
1,40,268448,"TV03","おそい、遠い"
1,41,619118,"TV03","高い、長い"
2,53,379880,"TV03","険しい、辛い、楽しい"
1,51,697066,"TV03","上り、継続、マイペース"
2,43,695517,"TV03","少しずつ、確実に"
1,36,450316,"TV03","上る、果てしない、遠い"
2,47,842234,"TV03","長い、上る、苦しい"
1,57,992477,"TV03","終わらない、遠い"
1,43,864699,"TV03","先の長い　遠い　苦労の絶え間ない"
2,47,517718,"TV03","ゆっくりだ、進む"
2,39,453182,"TV03","高い、登る"
2,38,737833,"TV03","困難だ、大変だ"
2,49,650129,"TV03","進む、下がる、集まる"
1,35,132018,"TV03","登る、大変だ、疲れる"
1,30,372370,"TV03","大変な、長い、進む"
2,46,417966,"TV03","険しい、難しい"
1,39,541460,"TV03","辛い、継続する"
2,38,919589,"TV03","険しい、少しずつ"
1,63,783967,"TV03","坂道を上る、高い、辛い"
2,29,372821,"TV03","長い、果てしない"
1,45,848301,"TV03","地道な、絶え間ない"
1,37,343791,"TV03","途方もない、果てしなく、"
1,55,171098,"TV03","地道、上り坂"
1,34,615315,"TV03","高い、険しい"
1,30,211056,"TV03","比例する、地道だ"
1,33,837258,"TV03","困難な、果てしない、先が見えない"
1,40,236761,"TV03","高い、辛い"
1,32,479382,"TV03","道無き道、険しい"
1,31,177114,"TV03","長い、高い、大きい"
2,35,487568,"TV03","積み重ねる、大変だ、難しい"
1,39,131627,"TV03","突き進んだ、高い"
2,30,214891,"TV03","着実だ、登る"
2,42,938806,"TV03","疲れる、孤独な"
1,51,459279,"TV03","究める、厳しい、着実な"
2,42,618221,"TV04","動く、ゆらめく"
2,38,854398,"TV04","踊る、上手だ、可憐だ"
1,44,596296,"TV04","柔らかい、優雅だ、明るい"
1,28,714743,"TV04","揺れる、優雅な"
1,44,966384,"TV04","舞う、華やかな、美しい"
2,28,619505,"TV04","優雅だ、美しい"
1,44,926083,"TV04","綺麗、妖艶だ、華やか"
1,25,643750,"TV04","美しい、華々しい"
2,30,834992,"TV04","舞う、軽やかな"
2,46,596744,"TV04","綺麗な、美しさ"
1,34,229654,"TV04","魅惑的な、官能的な、綺麗な"
1,43,687473,"TV04","美しい、艶めかしい"
1,45,214246,"TV04","舞う、飛ぶ、跳ねる"
