QID,Presentation,Diversity,Questions,Metaphor,Topic,Vehicle,Comprehensive,Similarity,Creative,Funniness,TopicAWD,VehicleAWD
1,TV,3.762488574,TV01,皮肉は短刀だ,皮肉,短刀,5.22,3.12,4.89,4.51,2.74,1.71
1,S,3.441500673,S01,皮肉は短刀だ,皮肉,短刀,5.22,3.12,4.89,4.51,2.74,1.71
2,TV,3.481136061,TV02,夕日は銅貨だ,夕日,銅貨,4.33,2.58,4.67,3.89,1.66,1.88
2,S,3.727410167,S02,夕日は銅貨だ,夕日,銅貨,4.33,2.58,4.67,3.89,1.66,1.88
3,TV,4.031974648,TV03,研究は登山だ,研究,登山,6.51,4.35,4.56,4.85,2.41,1.78
3,S,3.954620524,S03,研究は登山だ,研究,登山,6.51,4.35,4.56,4.85,2.41,1.78
4,TV,3.515706881,TV04,蝶は踊り子だ,蝶,踊り子,6.81,5.17,4.86,4.98,1.59,1.91
4,S,3.925703131,S04,蝶は踊り子だ,蝶,踊り子,6.81,5.17,4.86,4.98,1.59,1.91
5,TV,4.013688323,TV05,時間は洪水だ,時間,洪水,5.11,3.03,4.84,4.57,2.56,1.84
5,S,3.825331512,S05,時間は洪水だ,時間,洪水,5.11,3.03,4.84,4.57,2.56,1.84
6,TV,3.722029129,TV06,暴動は嵐だ,暴動,嵐,6.9,6.42,4.41,4.3,2.02,2.06
6,S,3.529919004,S06,暴動は嵐だ,暴動,嵐,6.9,6.42,4.41,4.3,2.02,2.06
7,TV,3.246205081,TV07,批判はメスだ,批判,メス,4.52,3.5,4.95,3.75,2.46,1.77
7,S,3.269053459,S07,批判はメスだ,批判,メス,4.52,3.5,4.95,3.75,2.46,1.77
8,TV,3.186640475,TV08,煙草は時限爆弾だ,煙草,時限爆弾,4.16,3.25,4.7,4.52,1.59,2.06
8,S,2.896415089,S08,煙草は時限爆弾だ,煙草,時限爆弾,4.16,3.25,4.7,4.52,1.59,2.06
9,TV,3.140017512,TV09,真珠は水滴だ,真珠,水滴,6.27,5.2,4.22,4.33,1.64,1.86
9,S,3.764170877,S09,真珠は水滴だ,真珠,水滴,6.27,5.2,4.22,4.33,1.64,1.86
10,TV,3.990267303,TV10,つららは水晶細工だ,つらら,水晶細工,7.4,6,3.83,4.89,0,0
10,S,3.615703845,S10,つららは水晶細工だ,つらら,水晶細工,7.4,6,3.83,4.89,0,0
11,TV,3.625231956,TV11,雨雲は薄墨だ,雨雲,薄墨,6.05,4.57,4.58,4.43,2.12,2.13
11,S,3.052515097,S11,雨雲は薄墨だ,雨雲,薄墨,6.05,4.57,4.58,4.43,2.12,2.13
12,TV,3.686231186,TV12,建物は角砂糖だ,建物,角砂糖,3.59,2.33,4.33,3.61,1.86,2.27
12,S,3.338213336,S12,建物は角砂糖だ,建物,角砂糖,3.59,2.33,4.33,3.61,1.86,2.27
13,TV,3.870014772,TV13,衝撃は電気だ,衝撃,電気,7.46,5.9,4.28,4.67,2.46,1.64
13,S,3.601406345,S13,衝撃は電気だ,衝撃,電気,7.46,5.9,4.28,4.67,2.46,1.64
14,TV,3.130021061,TV14,学校は工場だ,学校,工場,4.49,3.22,4.8,3.85,1.62,1.87
14,S,2.793709602,S14,学校は工場だ,学校,工場,4.49,3.22,4.8,3.85,1.62,1.87
15,TV,3.699947173,TV15,子猫は王女だ,子猫,王女,4.79,3.08,4.92,4.25,1.97,1.87
15,S,3.226353043,S15,子猫は王女だ,子猫,王女,4.79,3.08,4.92,4.25,1.97,1.87
16,TV,3.04628192,TV16,楽譜は暗号だ,楽譜,暗号,6,4.43,4.52,4.23,1.78,2.03
16,S,2.953019831,S16,楽譜は暗号だ,楽譜,暗号,6,4.43,4.52,4.23,1.78,2.03
17,TV,3.379489202,TV17,煙突は石碑だ,煙突,石碑,4.35,2.55,4.28,3.25,1.62,1.9
17,S,3.320522165,S17,煙突は石碑だ,煙突,石碑,4.35,2.55,4.28,3.25,1.62,1.9
18,TV,3.869134511,TV18,空は鏡だ,空,鏡,5.11,3.52,4.45,4.75,2.1,1.83
