QID,Presentation,Diversity,Questions,Metaphor,Topic,Vehicle,Comprehensive,Similarity,Creative,Funniness,TopicAWD,VehicleAWD,w2v200_dim200_snd3000_topic,w2v200_dim200_snd3000_vehicle
01,TV,3.76248857364477,TV01,皮肉は短刀だ,皮肉,短刀,5.22,3.12,4.89,4.51,2.74,1.71,0.39982059462865194,0.5070330939988296
01,S,3.441500672751097,S01,皮肉は短刀だ,皮肉,短刀,5.22,3.12,4.89,4.51,2.74,1.71,0.39982059462865194,0.5070330939988296
02,TV,3.481136061043902,TV02,夕日は銅貨だ,夕日,銅貨,4.33,2.58,4.67,3.89,1.66,1.88,0.457839424798886,0.3959217168887456
02,S,3.727410167339386,S02,夕日は銅貨だ,夕日,銅貨,4.33,2.58,4.67,3.89,1.66,1.88,0.457839424798886,0.3959217168887456
03,TV,4.031974648295472,TV03,研究は登山だ,研究,登山,6.51,4.35,4.56,4.85,2.41,1.78,0.42930055196086564,0.37751635219653445
03,S,3.954620523950181,S03,研究は登山だ,研究,登山,6.51,4.35,4.56,4.85,2.41,1.78,0.42930055196086564,0.37751635219653445
04,TV,3.5157068807872145,TV04,蝶は踊り子だ,蝶,踊り子,6.81,5.17,4.86,4.98,1.59,1.91,0.501740257203579,0.46966046873728434
04,S,3.9257031306448775,S04,蝶は踊り子だ,蝶,踊り子,6.81,5.17,4.86,4.98,1.59,1.91,0.501740257203579,0.46966046873728434
05,TV,4.013688322930431,TV05,時間は洪水だ,時間,洪水,5.11,3.03,4.84,4.57,2.56,1.84,0.3332047450343768,0.4288771722018719
05,S,3.825331512178963,S05,時間は洪水だ,時間,洪水,5.11,3.03,4.84,4.57,2.56,1.84,0.3332047450343768,0.4288771722018719
06,TV,3.722029128983756,TV06,暴動は嵐だ,暴動,嵐,6.9,6.42,4.41,4.3,2.02,2.06,0.4421940280000369,0.4083420829971631
06,S,3.529919004450064,S06,暴動は嵐だ,暴動,嵐,6.9,6.42,4.41,4.3,2.02,2.06,0.4421940280000369,0.4083420829971631
07,TV,3.24620508147799,TV07,批判はメスだ,批判,メス,4.52,3.5,4.95,3.75,2.46,1.77,0.4104243752658367,0.411343722730875
07,S,3.269053458745536,S07,批判はメスだ,批判,メス,4.52,3.5,4.95,3.75,2.46,1.77,0.4104243752658367,0.411343722730875
